Ürün Adı,İlk Dönem,Son Dönem,İlk Skor,Son Skor,Değişim,Mutlak_Değişim
TRENDYOLMİLLA Siyah Kemerli Mini Dokuma Ceket Elbise TWOAW22EL0243,2022-03,2025-01,0.928571,0.4,-0.528571,0.528571
Trendyol Curve Mavi Dokuma Beli Lastik ve Düğme Detaylı Elbise TBBSS22EL1563,2023-01,2025-01,0.333333,0.833333,0.5,0.5
Trendyol Curve Kahverengi Büzgü Detaylı Midi Örme Elbise TBBSS24AH00080,2024-03,2025-03,0.4,0.884615,0.484615,0.484615
TRENDYOLMİLLA Beyaz Skater/Belden Açılan Brode Mini Astarlı Dokuma Elbise TWOSS21EL3680,2022-03,2024-10,0.92,0.5,-0.42,0.42
TRENDYOLMİLLA Beyaz A Kesim Yaka Detaylı Brode Mini Astarlı Dokuma Elbise TWOSS21EL2089,2022-04,2025-03,0.948718,0.533333,-0.415385,0.415385
TRENDYOLMİLLA Çok Renkli Ayarlanabilir Askılı Baskılı Askılı Bürümcük/Dokulu Örme Midi Elbise TWOSS24EL00401,2024-02,2025-02,1.0,0.588235,-0.411765,0.411765
TRENDYOLMİLLA Siyah Mini Triko Pileli Etek Detaylı Elbise TWOAW24EL00013,2023-08,2025-03,0.848485,0.454545,-0.393939,0.393939
TRENDYOLMİLLA Siyah Eteği Volanlı A Kesim Şifon Midi Astarlı Dokuma Elbise TWOSS22EL00733,2022-05,2024-08,0.975,0.6,-0.375,0.375
TRENDYOLMİLLA Haki Gömlek Yaka Dokuma Elbise TWOAW21EL1964,2022-03,2025-02,0.863636,0.5,-0.363636,0.363636
TRENDYOLMİLLA Beyaz Dokuma %100 Pamuk Mini Plaj Elbisesi TBESS21EL3979,2022-03,2025-02,0.944444,0.595238,-0.349206,0.349206
Trendyol Curve Koyu Mavi Kuşak Detaylı Mini Denim Gömlek Elbise TBBSS24AH00124,2024-04,2025-02,0.619048,0.959184,0.340136,0.340136
TRENDYOLMİLLA Taş Kuşaklı A Kesim Mini Kruvaze Yaka Dokuma Keten Görünümlü Elbise TWOSS19XN0008,2022-03,2024-11,1.0,0.661538,-0.338462,0.338462
TRENDYOLMİLLA Lacivert Kuşaklı Yırtmaçlı Çiçek Desenli Midi Dokuma Gömlek Elbise TWOSS20EL2822,2022-04,2024-11,0.893617,0.56,-0.333617,0.333617
TRENDYOLMİLLA Siyah Vücuda Oturan Gipeli Mini Dokuma Elbise TWOSS23EL00892,2023-03,2024-07,0.888889,0.555556,-0.333333,0.333333
TRENDYOLMİLLA Çok Renkli Çiçek Desenli Belden Açılan Mini Astarlı Şifon Dokuma Elbise TWOAW24EL00841,2023-08,2025-03,0.866667,0.538462,-0.328205,0.328205
TRENDYOLMİLLA Mavi Çiçek Desenli A Kesim Volanlı Astarlı Midi Dokuma Elbise TWOSS20EL0894,2023-04,2024-12,0.876712,0.566667,-0.310046,0.310046
TRENDYOLMİLLA Siyah Kruvaze Bağlama Detaylı Mini Mono Desenli Dokuma Elbise TWOAW24EL00488,2023-09,2025-02,0.944444,0.636364,-0.308081,0.308081
TRENDYOLMİLLA Siyah Düğme Detaylı Kolsuz Dokuma Mini Ceket Elbise TWOSS19AP0280,2022-03,2025-03,0.428571,0.733333,0.304762,0.304762
TRENDYOLMİLLA Limited Edition Pembe Kareli Midi Dokuma Ceket Elbise TWOSS21EL3581,2022-03,2024-10,1.0,0.7,-0.3,0.3
TRENDYOLMİLLA Mavi Dikiş Detaylı Fitted/Vücuda Oturan Mini Denim Elbise TWOSS24EL00284,2024-02,2025-03,1.0,0.7,-0.3,0.3
TRENDYOLMİLLA X Sagaza Studio Siyah Belden Açılan/Skater Beli Lastikli Piliseli Poplin Elbise TCLAW24EL00000,2023-09,2025-03,0.611111,0.909091,0.29798,0.29798
TRENDYOLMİLLA Siyah Dokuma Püsküllü Cut Out/Pencere Maxi Plaj Elbisesi TBESS21EL3624,2022-03,2025-03,0.714286,1.0,0.285714,0.285714
Trendyol Curve Siyah Ayarlanabilir Askılı Vücuda Oturan Midi/Orta Boy Dokuma Büyük Beden Elbise TBBSS22AH00039,2022-11,2025-01,1.0,0.714286,-0.285714,0.285714
TRENDYOLMİLLA Mint Düz Kesim Cepli Gömlek Yaka Keten Görünümlü Mini Dokuma Elbise TWOSS22EL1068,2022-03,2024-10,1.0,0.714286,-0.285714,0.285714
TRENDYOLMİLLA Kırmızı Düğme Detaylı Mini Dokuma Ceket Elbise TWOAW24EL00462,2023-09,2025-03,0.952381,0.666667,-0.285714,0.285714
TRENDYOLMİLLA Çiçek Desenli Mini Dokuma Cut Out/Pencere Plaj Elbisesi TBESS21EL1054,2022-03,2024-07,1.0,0.72,-0.28,0.28
TRENDYOLMİLLA Lacivert Maxi Triko Polo Yaka Elbise TWOSS24EL00282,2024-04,2025-03,0.666667,0.944444,0.277778,0.277778
TRENDYOLMİLLA Siyah Düz Kesim Saten Askılı Maxi Dokuma Elbise TWOSS24EL00163,2024-03,2025-02,0.944444,0.666667,-0.277778,0.277778
TRENDYOLMİLLA Siyah Vücudu Saran Gömlek Yaka Mini Dokuma Elbise TWOAW23EL00611,2022-09,2025-02,1.0,0.727273,-0.272727,0.272727
TRENDYOLMİLLA Bridal Beyaz A-Kesim Straplez Dokuma Düğün/Nikah Abiye Elbise TPRSS24EL00139,2024-03,2025-03,0.533333,0.8,0.266667,0.266667
TRENDYOLMİLLA Kiremit Çiçekli A Kesim Fırfırlı Astarlı Mini Dokuma Elbise TWOSS20EL0681,2022-04,2024-10,0.925,0.666667,-0.258333,0.258333
TRENDYOLMİLLA Siyah Limited Edition Vücuda Oturan Drape Detaylı Mini Gabardin Dokuma Elbise TWOAW21EL1388,2022-03,2024-11,0.857143,0.6,-0.257143,0.257143
TRENDYOLMİLLA Camel Kemerli Mini Dokuma Elbise TWOAW22EL0446,2022-03,2025-03,0.857143,0.6,-0.257143,0.257143
TRENDYOLMİLLA Siyah Mini Triko Geniş Kalıp Elbise TWOAW23EL00026,2022-09,2024-12,0.956522,0.7,-0.256522,0.256522
TRENDYOLMİLLA Yeşil Rahat Kesim V Yaka Midi Dokuma Elbise TWOSS23EL00882,2023-03,2024-10,0.944444,0.690909,-0.253535,0.253535
TRENDYOLMİLLA Siyah Düz T-shirt Elbise %100 Pamuk Yırtmaç Detaylı Shift/Rahat Kesim Midi TWOSS24EL00140,2024-03,2025-03,0.615385,0.866667,0.251282,0.251282
Trendyol Curve Siyah Çıtır Çiçekli Astarlı Uzun Kol Midi/Orta Boy Şifon Elbise TBBAW24AH00027,2023-08,2025-03,1.0,0.75,-0.25,0.25
TRENDYOLMİLLA Ekru Kuşaklı Midi Düğmeli Kare Yaka Dokuma Keten Görünümlü Elbise TWOSS19IE0009,2022-03,2024-09,0.944444,0.7,-0.244444,0.244444
TRENDYOLMİLLA Siyah Vücuda Oturan Astarlı Korse Detaylı Örme Kısa Şık Abiye Elbise TPRSS23EL00174,2023-02,2024-11,0.857143,0.615385,-0.241758,0.241758
TRENDYOLMİLLA Siyah Kuşaklı Kruvaze Dokuma Elbise TWOAW20EL0789,2022-03,2025-03,0.954545,0.714286,-0.24026,0.24026
TRENDYOLMİLLA Yeşil Çiçek Desenli A-Kesim Fırfır Detaylı Astarlı Şifon Maxi Dokuma Elbise TWOSS23EL02013,2024-02,2025-03,1.0,0.761468,-0.238532,0.238532
TRENDYOLMİLLA Antrasit  A Kesim Eteği Asimetrik Mini  Dokuma Elbise TWOAW24EL00496,2023-08,2025-02,0.428571,0.666667,0.238095,0.238095
TRENDYOLMİLLA Mavi Çiçek Desenli Kuşaklı Midi Dokuma Viskon Gömlek Elbise TWOSS20EL1559,2022-03,2024-09,0.962963,0.727273,-0.23569,0.23569
TRENDYOLMİLLA Zümrüt Yeşili A-Kesim Astarlı Volanlı Dokuma Şifon Kısa Şık Abiye Elbise TPRSS23EL00096,2023-08,2025-03,1.0,0.764706,-0.235294,0.235294
TRENDYOLMİLLA Beyaz Belden Açılan Kare Yaka Askılı Volanlı Mini Dokuma Elbise TWOSS23EL00601,2023-06,2024-08,0.86,0.625,-0.235,0.235
TRENDYOLMİLLA Çok Renkli Batik Desenli Düz Kesim Kolsuz Maxi Astarlı Saten Dokuma Elbise TWOSS23EL02238,2023-04,2025-03,0.962264,0.727273,-0.234991,0.234991
TRENDYOLMİLLA Indigo Düğme Detaylı Dokuma Mini Ceket Dokuma Elbise  TWOAW23EL00291,2022-10,2025-03,0.842105,0.611111,-0.230994,0.230994
TRENDYOLMİLLA Kahverengi Vücuda Oturan Yırtmaçlı Bisiklet Yaka Midi Fitilli Esnek Örme Elbise TWOAW21EL0135,2022-08,2025-01,1.0,0.769231,-0.230769,0.230769
TRENDYOLMİLLA Siyah Düğme Detaylı Mini Dokuma Ceket Elbise TWOSS20EL0407,2022-03,2025-01,0.923077,0.692308,-0.230769,0.230769
TRENDYOLMİLLA Siyah Vücuda Oturan Mini Dik Yaka Fitilli Esnek Örme Kalem Elbise TWOAW21EL2244,2022-03,2025-03,1.0,0.769231,-0.230769,0.230769
Trendyol Curve Mavi Kare Yaka Balon Kollu Dokuma Yırtmaçlı Astarlı Şifon Elbise TBBSS22AH0012,2022-05,2025-02,0.911111,0.684211,-0.226901,0.226901
