Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
TRENDYOLMİLLA Siyah Vücuda Oturan Degaje Yaka Midi Askılı Esnek Örme Midi Kalem Elbise TWOSS19AD0020,885,2022-03-22,2025-02-17,1063,802,83
TRENDYOLMİLLA Siyah Vücuda Oturan Mini Dik Yaka Fitilli Esnek Örme Kalem Elbise TWOAW21EL2244,712,2022-03-21,2025-03-10,1085,614,98
TRENDYOLMİLLA Siyah Fitted/ Vücuda Oturan Kolsuz Drape Detaylı Kemerli Midi Esnek Örme Kalem Elbise TWOSS22EL0756,706,2022-03-24,2025-03-07,1079,667,39
TRENDYOLMİLLA Lacivert Vücuda Oturan Degaje Yaka Midi Askılı Esnek Örme Midi Kalem Elbise TWOSS19AD0020,540,2022-03-13,2025-02-27,1082,518,22
TRENDYOLMİLLA Siyah Fitilli Kare Yaka Vücuda Oturan Uzun Kol Yırtmaçlı Midi Elbise TWOAW22EL0871,504,2022-04-15,2025-03-10,1060,451,53
TRENDYOLMİLLA Çok Renkli Çiçekli Eteği Volanlı Skater/Belden Açılan Şifon Mini Astarlı Dokuma Elbise TWOSS22EL2772,497,2022-05-05,2025-01-09,980,451,46
TRENDYOLMİLLA Siyah Tüvit A Kesim Mini Şifon Kol Detaylı Dokuma Elbise TWOAW21EL0532,487,2022-03-13,2025-03-09,1092,403,84
Trendyol Curve Siyah Dokuma Yırtmaçlı Elbise TBBSS22AH0012,486,2022-03-31,2025-03-10,1075,443,43
TRENDYOLMİLLA Turuncu Baskıılı Vücuda Oturan Midi Tek Omuz Ayarlanabilir Askılı Örme Kalem Elbise TWOSS23EL01577,472,2023-04-03,2025-03-10,707,408,64
TRENDYOLMİLLA Mor Fitted/ Vücuda Oturan Kolsuz Drape Detaylı Kemerli Midi Esnek Örme Kalem Elbise TWOSS22EL0756,466,2022-03-22,2025-03-07,1081,447,19
TRENDYOLMİLLA Siyah Belden AçılanMidi Kruvaze Piliseli Ayarlanabilir Askılı Esnek Örme Elbise TWOSS20EL2729,461,2022-03-17,2024-10-06,934,435,26
TRENDYOLMİLLA Siyah Fitted/Vücuda Oturan Büzgü Detaylı Midi Esnek Örme Kalem Elbise TWOSS23EL00751,456,2023-03-24,2025-03-09,716,422,34
TRENDYOLMİLLA Petrol Vücuda Oturan Dik Yaka Midi Kalem Etek Dokuma Elbise TWOAW20EL0311,446,2022-03-22,2025-03-07,1081,405,41
TRENDYOLMİLLA Siyah Vücuda Oturan Yırtmaçlı Bisiklet Yaka Midi Fitilli Esnek Örme Kalem Elbise TWOAW21EL0135,445,2022-04-04,2025-03-06,1067,398,47
TRENDYOLMİLLA Siyah Vücuda Oturan Mini Bisiklet Yaka Fitilli Esnek Örme Kalem Elbise TWOSS19AD0053,440,2022-03-18,2025-03-10,1088,405,35
TRENDYOLMİLLA Ekru Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970,433,2022-03-29,2025-03-04,1071,371,62
TRENDYOLMİLLA Çok Renkli Fırfır Detaylı Tül Örme Elbise,422,2022-04-01,2025-03-06,1070,400,22
TRENDYOLMİLLA Siyah Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058,414,2022-04-19,2025-03-10,1056,322,92
TRENDYOLMİLLA Siyah Vücuda Oturan Dik Yaka Midi Kalem Etek Dokuma Elbise TWOAW20EL0311,414,2022-04-23,2025-03-04,1046,367,47
TRENDYOLMİLLA Kahverengi Vücuda Oturan Degaje Yaka Midi Esnek Örme Kalem Elbise TWOSS19AD0020,411,2022-04-14,2025-03-10,1061,376,35
TRENDYOLMİLLA Siyah Geniş Kesim Mini Dokuma Elbise TWOSS20EL0400,410,2022-03-19,2024-11-17,974,336,74
TRENDYOLMİLLA Siyah Vücuda Oturan Düğme Detaylı Yırtmaçlı Midi Kalem Etek Dokuma Elbise TWOSS23EL02256,410,2023-04-01,2025-03-10,709,367,43
TRENDYOLMİLLA Siyah Halter Yaka A Kesim Mini Dokuma Elbise TWOSS21EL1538,400,2022-04-05,2025-03-10,1070,346,54
TRENDYOLMİLLA Kiremit Çiçek Desenli A Kesim Volanlı Astarlı Midi Dokuma Elbise TWOSS20EL0894,400,2022-04-15,2025-03-10,1060,368,32
TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076,398,2022-03-15,2025-01-25,1047,364,34
TRENDYOLMİLLA Siyah Fitted/Vücuda Oturan Askılı Maxi Esnek Örme Kalem Elbise TWOSS23EL02435,384,2023-07-13,2025-03-10,606,360,24
TRENDYOLMİLLA Bridal Ekru Vücuda Oturan Korse Detaylı Dokuma Şık Abiye Elbise TPRSS22EL00097,379,2022-04-11,2025-03-09,1063,336,43
Trendyol Curve Siyah Büyük Beden Astarsız Truvakar Kol Mini Dokuma Ceket Elbise TBBAW23AH00042,378,2022-08-26,2025-03-08,925,345,33
TRENDYOLMİLLA Fuşya Kuşaklı Mini Dokuma Ceket Dokuma Elbise TWOSS20EL0236,375,2022-04-06,2024-10-20,928,341,34
Trendyol Curve Siyah Puantiyeli A-line Mini Örme Elbise Büyük Beden Elbise TBBAW23AH00003,374,2022-10-07,2025-03-10,885,350,24
TRENDYOLMİLLA Siyah A Kesim Gömlek Yaka Tüvit Mini Dokuma Elbise TWOAW23EL00701,371,2022-09-10,2025-03-10,912,309,62
TRENDYOLMİLLA Çok Renkli A Kesim Dik Yaka Çiçek Desenli Süper Mini Astarlı Dokuma Elbise TWOSS21EL2880,363,2022-03-23,2025-03-02,1075,324,39
TRENDYOLMİLLA Siyah Vücuda Oturan Astarlı Parlak Taşlı Dokuma Şık Abiye Elbise TPRSS23EL00476,355,2023-03-24,2025-03-10,717,312,43
TRENDYOLMİLLA Siyah Kısa Kol Fitted/Vücuda Oturan Pamuklu Esnek Midi Örme Kalem Elbise TWOSS23EL00313,351,2023-04-02,2024-10-26,573,318,33
TRENDYOLMİLLA Ekru Çiçek Desenli A-Kesim Fırfır Detaylı Astarlı Şifon Maxi Dokuma Elbise TWOSS23EL02013,349,2023-04-08,2025-03-10,702,306,43
TRENDYOLMİLLA Çok Renkli Batik Desenli Düz Kesim Kolsuz Maxi Astarlı Saten Dokuma Elbise TWOSS23EL02238,346,2023-04-01,2025-03-01,700,310,36
TRENDYOLMİLLA Siyah A-Kesim Astarlı Volanlı Dokuma Şifon Kısa Şık Abiye Elbise TPRSS23EL00096,343,2023-03-02,2025-02-25,726,302,41
TRENDYOLMİLLA Siyah Kuşaklı Kruvaze Dokuma Elbise TWOAW20EL0789,342,2022-03-23,2025-03-10,1083,303,39
TRENDYOLMİLLA Bordo Vücuda Oturan Dik Yaka Midi Kalem Etek Dokuma Elbise TWOAW20EL0311,339,2022-03-12,2025-02-06,1062,300,39
TRENDYOLMİLLA Bej Mini Triko Dantelli Elbise TWOAW22EL0011,338,2022-04-13,2025-03-04,1056,305,33
TRENDYOLMİLLA Siyah Vücuda Oturan Asimetrik Yaka Omzu Açık Mini Fitilli Esnek Örme Kalem Elbise TWOAW23EL00118,335,2022-10-26,2025-03-10,866,292,43
TRENDYOLMİLLA Siyah Bağlama Detaylı Bisiklet Yaka Triko Görünümlü Mini Örme Elbise TWOSS22EL0751,334,2022-03-13,2024-09-18,920,284,50
TRENDYOLMİLLA Siyah Dokuma Elbise,331,2022-04-04,2025-02-19,1052,299,32
TRENDYOLMİLLA Siyah Fitted/Vücuda Oturan Büzgü ve Yırtmaç Detaylı Midi Pamuklu Esnek Örme Elbise TWOSS23EL00777,328,2023-05-06,2025-03-11,675,284,44
TRENDYOLMİLLA Siyah Astarlı Volanlı Dokuma Şık Abiye Elbise TPRAW19BB0144,328,2022-03-23,2025-03-09,1082,292,36
TRENDYOLMİLLA Ekru Kuşaklı Midi Düğmeli Kare Yaka Dokuma Keten Görünümlü Elbise TWOSS19IE0009,326,2022-03-15,2024-09-05,905,261,65
TRENDYOLMİLLA Pembe Kemer Detaylı Triko Midi Elbise TWOSS22EL1031,325,2022-04-03,2025-03-11,1073,291,34
TRENDYOLMİLLA Siyah Limited Edition Vücuda Oturan Drape Detaylı Mini Gabardin Dokuma Elbise TWOAW21EL1388,322,2022-03-16,2024-11-13,973,271,51
Trendyol Curve Siyah Dokuma Kolları Volanlı Elbise TBBSS22EL1626,315,2022-04-04,2025-03-10,1071,266,49
TRENDYOLMİLLA Beyaz Dokuma %100 Pamuk Brode Detaylı Mini Plaj Elbisesi TBESS21EL1248,311,2022-04-02,2024-08-20,871,298,13
